year,city,registered_voters,turnout,percent_turnout,valid_vote,ak parti,anadolu partisi,anap,atp,bbp,bp,btp,chp,dbp,dehap,depar,dp,dsp,dtp,dyp,emep,fp,genc parti,hadep,hakpar,hap,has parti,hdp,hepar,hkp,hp,huda par,hyp,idp,ip,iyi parti,kp,ldp,mcp,mdp,mep,mhp,millet partisi,mmp,odp,rp,saadet partisi,shp,sip,sp,tkp,turk parti,vatan partisi,ydh,ydp,yeni parti,ytp,yurtp,bgmz,not .  milletvekili genel seciminde  milletvekili secilmistir. ancak istanbul'dan secilen mhp milletvekillerinden bir milletvekilinin olumu nedeniyle meclis'te bulunan milletvekili sayisi  olmustur.,milletvekili sayisi,ap,birlik partisi,cgp,ckmp,cmp,demokratik parti,gp,hurriyet partisi,msp,tbp,tip,vp,ytp 
1995,kocaeli,664557.0,573917.0,86.4,548794.0,,,88161.0,,,,,57661.0,,,,,103131.0,,74095.0,,,,14526.0,,,,,,,,,,,831.0,,,,,,,29605.0,2744.0,,,174390.0,,,,,,,,2509.0,1163.0,586.0,,,1084.0,,,,,,,,,,,,,,,
1991,kocaeli,543729.0,450309.0,82.8,437498.0,,,86046.0,,,,,,,,,,66496.0,,111980.0,,,,,,,,,,,,,,,,,,,,,,,,,,96910.0,,75185.0,,1536.0,,,,,,,,,156.0,,,,,,,,,,,,,,,
1987,kocaeli,437160.0,408914.0,93.5,401254.0,,,109007.0,,,,,,,,,,38373.0,,80582.0,,,,,,,,,,,,,,2753.0,,,,,7292.0,,,,,,,53159.0,,110892.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,kocaeli,298985.0,278441.0,93.1,262731.0,,,115379.0,,,,,,,,,,,,,,,,,,,,,,,101261.0,,,,,,,,,46091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,hatay,1041076.0,925282.0,88.9,911280.0,340122.0,,,,,,,287438.0,,,,,,,,,,,,,,,103530.0,,,,1546.0,,,,61380.0,,,,,,135667.0,,,,,8449.0,,,,,,1365.0,,,,,,0.0,,,,,,,,,,,,,,,
1 Kasım 2015,hatay,991518.0,862175.0,87.0,852129.0,381165.0,,,,3067.0,,906.0,311664.0,,,,748.0,343.0,,8.0,,,,,1660.0,,,61814.0,,1486.0,,,,,,,391.0,30.0,,,,106563.0,248.0,,,,3925.0,,,,,,1630.0,,,,,,0.0,,,,,,,,,,,,,,,
7 Haziran 2015,hatay,987001.0,845099.0,85.6,827926.0,322422.0,858.0,,,,,2408.0,304062.0,,,,870.0,1319.0,,24.0,,,,,673.0,11.0,,58334.0,,1155.0,,,,,,,170.0,8.0,,,326.0,117832.0,319.0,,,,13729.0,,,,,1610.0,1675.0,,,,,3.0,19227.0,,,,,,,,,,,,,,,
2011,hatay,934254.0,810847.0,86.8,793149.0,353616.0,,,,3230.0,,,306498.0,,,,4341.0,875.0,,1085.0,1429.0,,,,,,2960.0,,1724.0,,,,,,,,,0.0,,,,100499.0,365.0,571.0,,,5941.0,,,,690.0,,,,,,,,11808.0,,,,,,,,,,,,,,,
2007,hatay,786191.0,650007.0,82.7,637301.0,261971.0,,,,,,2809.0,199838.0,,,,26433.0,,,,,,15058.0,,,,,,,,,,2045.0,,2214.0,,,,,,,107721.0,,,776.0,,7278.0,,,,1373.0,,,,,,,,13952.0,,,,,,,,,,,,,,,
2002,hatay,746949.0,584939.0,78.3,554810.0,166403.0,,30169.0,,3175.0,,2690.0,143792.0,,18767.0,,,7244.0,,47557.0,,,31944.0,,,,,,,,,,,,2787.0,,,588.0,,,,60643.0,1019.0,,1557.0,,7972.0,,,,940.0,,,,,,6758.0,2018.0,20821.0,,,,,,,,,,,,,,,
1999,hatay,693725.0,604485.0,87.1,578416.0,,,70627.0,,6008.0,3067.0,,113384.0,,,578.0,2147.0,80955.0,7491.0,66958.0,895.0,70641.0,,14907.0,,,,,,,,,,,1084.0,,,1438.0,,,,128387.0,1237.0,,7254.0,,,,558.0,,,,,,638.0,,,,1314.0,,,,,,,,,,,,,,,
1995,hatay,622004.0,539869.0,86.8,519952.0,,,75863.0,,,,,114417.0,,,,,40312.0,,99922.0,,,,16513.0,,,,,,,,,,,1248.0,,,,,,,69100.0,3024.0,,,96355.0,,,,,,,,2250.0,1097.0,717.0,,,740.0,,,,,,,,,,,,,,,
1991,hatay,542338.0,455349.0,84.0,443298.0,,,85754.0,,,,,,,,,,27361.0,,126148.0,,,,,,,,,,,,,,,,,,,,,,,,,,61016.0,,142246.0,,1595.0,,,,,,,,,,,,,,,,,,,,,,,,
1987,hatay,466146.0,438925.0,94.2,427724.0,,,131832.0,,,,,,,,,,28748.0,,86113.0,,,,,,,,,,,,,,2214.0,,,,,13479.0,,,,,,,26002.0,,140073.0,,,,,,,,,,,120.0,,,,,,,,,,,,,,,
1983,hatay,334399.0,305508.0,91.4,290228.0,,,99050.0,,,,,,,,,,,,,,,,,,,,,,,105570.0,,,,,,,,,85608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,maras,300701.0,222589.0,74.0,216000.0,,,,,,,,74283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33470.0,,,,,,,,,,,,,,,,,10171.0,,7.0,57250.0,,1657.0,,,5397.0,,,33772.0,,,,
1973,maras,226256.0,160528.0,70.9,155106.0,,,,,,,,51043.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8669.0,,,,,,,,,,,,,,,,,3432.0,,7.0,27774.0,,3133.0,,,16776.0,,,41454.0,2825.0,,,
1969,maras,198558.0,125356.0,63.1,119992.0,,,,,,,,21126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1469.0,5946.0,,,,,,,,,,,,,,,,38319.0,,6.0,38419.0,7478.0,,,,,4734.0,,,,2230.0,,289.0
1965,maras,181867.0,121252.0,66.7,115531.0,,,,,,,,27609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11329.0,,,,,,,,,,,,,,,,14570.0,,6.0,55640.0,,,,,,,,,,2284.0,,4099.0
